"parameter","estimates","se","p"
"(Intercept)","0.37***",0.09,0
"sex","-0.13†",0.07,0.06
"race","0.28***",0.08,0
"age","0.01",0.04,0.86
"baseline_HED","0.41***",0.03,0
"baseline_social_desirability","-0.03",0.04,0.5
"baseline_impulsivity","0.05",0.04,0.17
"lifestress","0.08***",0.03,0
"injunctive_workplace_norms","0.04",0.03,0.19
"qualitative_role_overload","0.15***",0.04,0
"quantitative_role_overload","0.11***",0.03,0
"DASS","0.00",0.03,1
"time","0.04",0.04,0.29
"qualitative_role_overload:time","-0.15***",0.04,0
"quantitative_role_overload:time","0.02",0.03,0.53
"DASS:time","0.02",0.04,0.66
